,gene_symbols
ENSG00000152611,CAPSL
ENSG00000152661,GJA1
ENSG00000152669,CCNO
ENSG00000152760,TCTEX1D1
ENSG00000152763,WDR78
ENSG00000152969,JAKMIP1
ENSG00000153234,NR4A2
ENSG00000153283,CD96
ENSG00000153347,FAM81B
ENSG00000153395,LPCAT1
ENSG00000153446,C16orf89
ENSG00000153563,CD8A
ENSG00000153721,CNKSR3
ENSG00000153789,FAM92B
ENSG00000154080,CHST9
ENSG00000154096,THY1
ENSG00000154099,DNAAF1
ENSG00000154133,ROBO4
ENSG00000154175,ABI3BP
ENSG00000154188,ANGPT1
ENSG00000154262,ABCA6
ENSG00000154277,UCHL1
ENSG00000154451,GBP5
ENSG00000154479,CCDC173
ENSG00000154553,PDLIM3
ENSG00000154556,SORBS2
ENSG00000154721,JAM2
ENSG00000154734,ADAMTS1
ENSG00000154814,OXNAD1
ENSG00000155011,DKK2
ENSG00000155307,SAMSN1
ENSG00000155622,XAGE2
ENSG00000155629,PIK3AP1
ENSG00000155657,TTN
ENSG00000155659,VSIG4
ENSG00000155719,OTOA
ENSG00000155761,SPAG17
ENSG00000155850,SLC26A2
ENSG00000155926,SLA
ENSG00000156042,CFAP70
ENSG00000156076,WIF1
ENSG00000156113,KCNMA1
ENSG00000156127,BATF
ENSG00000156234,CXCL13
ENSG00000156298,TSPAN7
ENSG00000156313,RPGR
ENSG00000156475,PPP2R2B
ENSG00000156738,MS4A1
ENSG00000156804,FBXO32
ENSG00000157005,SST
ENSG00000157168,NRG1
ENSG00000157404,KIT
ENSG00000157423,HYDIN
ENSG00000157514,TSC22D3
ENSG00000157554,ERG
ENSG00000157765,SLC34A2
ENSG00000157856,DRC1
ENSG00000158023,WDR66
ENSG00000158050,DUSP2
ENSG00000158062,UBXN11
ENSG00000158163,DZIP1L
ENSG00000158477,CD1A
ENSG00000158481,CD1C
ENSG00000158486,DNAH3
ENSG00000158488,CD1E
ENSG00000158517,NCF1
ENSG00000158578,ALAS2
ENSG00000158747,NBL1
ENSG00000158825,CDA
ENSG00000158859,ADAMTS4
ENSG00000158869,FCER1G
ENSG00000159167,STC1
ENSG00000159189,C1QC
ENSG00000159200,RCAN1
ENSG00000159231,CBR3
ENSG00000159251,ACTC1
ENSG00000159307,SCUBE1
ENSG00000159339,PADI4
ENSG00000159388,BTG2
ENSG00000159403,C1R
ENSG00000159496,RGL4
ENSG00000159588,CCDC17
ENSG00000159674,SPON2
ENSG00000159713,TPPP3
ENSG00000159723,AGRP
ENSG00000159763,PIP
ENSG00000159958,TNFRSF13C
ENSG00000160013,PTGIR
ENSG00000160180,TFF3
ENSG00000160182,TFF1
ENSG00000160188,RSPH1
ENSG00000160255,ITGB2
ENSG00000160298,C21orf58
ENSG00000160307,S100B
ENSG00000160345,C9orf116
ENSG00000160401,CFAP157
ENSG00000160472,TMEM190
ENSG00000160593,JAML
ENSG00000160654,CD3G
ENSG00000160678,S100A1
ENSG00000160683,CXCR5
ENSG00000160856,FCRL3
ENSG00000160862,AZGP1
ENSG00000160867,FGFR4
ENSG00000161055,SCGB3A1
ENSG00000161249,DMKN
ENSG00000161281,COX7A1
ENSG00000161405,IKZF3
ENSG00000161638,ITGA5
ENSG00000161649,CD300LG
ENSG00000161798,AQP5
ENSG00000161835,GRASP
ENSG00000161944,ASGR2
ENSG00000162004,CCDC78
ENSG00000162078,ZG16B
ENSG00000162366,PDZK1IP1
ENSG00000162367,TAL1
ENSG00000162399,BSND
ENSG00000162444,RBP7
ENSG00000162493,PDPN
ENSG00000162511,LAPTM5
ENSG00000162543,UBXN10
ENSG00000162545,CAMK2N1
ENSG00000162551,ALPL
ENSG00000162571,TTLL10
ENSG00000162576,MXRA8
ENSG00000162598,C1orf87
ENSG00000162614,NEXN
ENSG00000162616,DNAJB4
ENSG00000162618,ADGRL4
ENSG00000162654,GBP4
ENSG00000162676,GFI1
ENSG00000162692,VCAM1
ENSG00000162711,NLRP3
ENSG00000162739,SLAMF6
ENSG00000162745,OLFML2B
ENSG00000162772,ATF3
ENSG00000162814,SPATA17
ENSG00000162892,IL24
ENSG00000162894,FCMR
ENSG00000162896,PIGR
ENSG00000162998,FRZB
ENSG00000163017,ACTG2
ENSG00000163040,CCDC74A
ENSG00000163071,SPATA18
ENSG00000163072,NOSTRIN
ENSG00000163075,CFAP221
ENSG00000163106,HPGDS
ENSG00000163131,CTSS
ENSG00000163209,SPRR3
ENSG00000163216,SPRR2D
ENSG00000163219,ARHGAP25
ENSG00000163220,S100A9
ENSG00000163221,S100A12
ENSG00000163273,NPPC
ENSG00000163328,GPR155
ENSG00000163346,PBXIP1
ENSG00000163359,COL6A3
ENSG00000163421,PROK2
ENSG00000163430,FSTL1
ENSG00000163431,LMOD1
ENSG00000163435,ELF3
ENSG00000163453,IGFBP7
ENSG00000163491,NEK10
ENSG00000163508,EOMES
ENSG00000163519,TRAT1
ENSG00000163520,FBLN2
ENSG00000163563,MNDA
ENSG00000163564,PYHIN1
ENSG00000163576,EFHB
ENSG00000163599,CTLA4
ENSG00000163600,ICOS
ENSG00000163618,CADPS
ENSG00000163638,ADAMTS9
ENSG00000163661,PTX3
ENSG00000163687,DNASE1L3
ENSG00000163710,PCOLCE2
ENSG00000163734,CXCL3
ENSG00000163735,CXCL5
ENSG00000163736,PPBP
ENSG00000163737,PF4
ENSG00000163739,CXCL1
ENSG00000163751,CPA3
ENSG00000163762,TM4SF18
ENSG00000163823,CCR1
ENSG00000163879,DNALI1
ENSG00000163885,CFAP100
ENSG00000163993,S100P
ENSG00000164035,EMCN
ENSG00000164047,CAMP
ENSG00000164056,SPRY1
ENSG00000164104,HMGB2
ENSG00000164120,HPGD
ENSG00000164125,FAM198B
ENSG00000164161,HHIP
ENSG00000164169,PRMT9
ENSG00000164265,SCGB3A2
ENSG00000164266,SPINK1
ENSG00000164283,ESM1
ENSG00000164287,CDC20B
ENSG00000164330,EBF1
ENSG00000164400,CSF2
ENSG00000164483,SAMD3
ENSG00000164485,IL22RA2
ENSG00000164530,PI16
ENSG00000164543,STK17A
ENSG00000164611,PTTG1
ENSG00000164674,SYTL3
ENSG00000164675,IQUB
ENSG00000164683,HEY1
ENSG00000164687,FABP5
ENSG00000164691,TAGAP
ENSG00000164692,COL1A2
ENSG00000164736,SOX17
ENSG00000164741,DLC1
ENSG00000164825,DEFB1
ENSG00000164849,GPR146
ENSG00000164879,CA3
ENSG00000164932,CTHRC1
ENSG00000164949,GEM
ENSG00000164953,TMEM67
ENSG00000164972,C9orf24
ENSG00000165029,ABCA1
ENSG00000165071,TMEM71
ENSG00000165072,MAMDC2
ENSG00000165124,SVEP1
ENSG00000165140,FBP1
ENSG00000165168,CYBB
ENSG00000165215,CLDN3
ENSG00000165272,AQP3
ENSG00000165309,ARMC3
ENSG00000165312,OTUD1
ENSG00000165457,FOLR2
ENSG00000165507,C10orf10
ENSG00000165646,SLC18A2
ENSG00000165682,CLEC1B
ENSG00000165698,C9orf9
ENSG00000165795,NDRG2
ENSG00000165810,BTNL9
ENSG00000165949,IFI27
ENSG00000165997,ARL5B
ENSG00000166033,HTRA1
ENSG00000166086,JAM3
ENSG00000166147,FBN1
ENSG00000166165,CKB
ENSG00000166171,DPCD
ENSG00000166265,CYYR1
ENSG00000166289,PLEKHF1
ENSG00000166292,TMEM100
ENSG00000166347,CYB5A
ENSG00000166428,PLD4
ENSG00000166482,MFAP4
ENSG00000166501,PRKCB
ENSG00000166523,CLEC4E
ENSG00000166527,CLEC4D
ENSG00000166592,RRAD
ENSG00000166596,CFAP52
ENSG00000166670,MMP10
ENSG00000166741,NNMT
ENSG00000166803,KIAA0101
ENSG00000166825,ANPEP
ENSG00000166920,C15orf48
ENSG00000166927,MS4A7
ENSG00000166959,MS4A8
ENSG00000166961,MS4A15
ENSG00000166963,MAP1A
ENSG00000167077,MEI1
ENSG00000167244,IGF2
ENSG00000167286,CD3D
ENSG00000167419,LPO
ENSG00000167434,CA4
ENSG00000167552,TUBA1A
ENSG00000167601,AXL
ENSG00000167604,NFKBID
ENSG00000167613,LAIR1
ENSG00000167618,LAIR2
ENSG00000167633,KIR3DL1
ENSG00000167641,PPP1R14A
ENSG00000167644,C19orf33
ENSG00000167646,DNAAF3
ENSG00000167653,PSCA
ENSG00000167656,LY6D
ENSG00000167664,TMIGD2
ENSG00000167680,SEMA6B
ENSG00000167755,KLK6
ENSG00000167757,KLK11
ENSG00000167768,KRT1
ENSG00000167772,ANGPTL4
ENSG00000167779,IGFBP6
ENSG00000167851,CD300A
ENSG00000167858,TEKT1
ENSG00000167916,KRT24
ENSG00000167972,ABCA3
ENSG00000167984,NLRC3
ENSG00000168079,SCARA5
ENSG00000168081,PNOC
ENSG00000168209,DDIT4
ENSG00000168229,PTGDR
ENSG00000168269,FOXI1
ENSG00000168280,KIF5C
ENSG00000168309,FAM107A
ENSG00000168329,CX3CR1
ENSG00000168386,FILIP1L
ENSG00000168389,MFSD2A
ENSG00000168421,RHOH
ENSG00000168477,TNXB
ENSG00000168484,SFTPC
ENSG00000168497,SDPR
ENSG00000168542,COL3A1
ENSG00000168589,DYNLRB2
ENSG00000168658,VWA3B
ENSG00000168685,IL7R
ENSG00000168734,PKIG
ENSG00000168878,SFTPB
ENSG00000168899,VAMP5
ENSG00000168918,INPP5D
ENSG00000168952,STXBP6
ENSG00000169035,KLK7
ENSG00000169064,ZBBX
ENSG00000169194,IL13
ENSG00000169224,GCSAML
ENSG00000169242,EFNA1
ENSG00000169245,CXCL10
ENSG00000169248,CXCL11
ENSG00000169306,IL1RAPL1
ENSG00000169314,C22orf15
ENSG00000169347,GP2
ENSG00000169385,RNASE2
ENSG00000169413,RNASE6
ENSG00000169429,CXCL8
ENSG00000169439,SDC2
ENSG00000169442,CD52
ENSG00000169469,SPRR1B
ENSG00000169507,SLC38A11
ENSG00000169508,GPR183
ENSG00000169509,CRCT1
ENSG00000169554,ZEB2
ENSG00000169583,CLIC3
ENSG00000169710,FASN
ENSG00000169715,MT1E
ENSG00000169744,LDB2
ENSG00000169877,AHSP
ENSG00000169896,ITGAM
ENSG00000169908,TM4SF1
ENSG00000170128,GPR25
ENSG00000170231,FABP6
ENSG00000170323,FABP4
ENSG00000170324,FRMPD2
ENSG00000170345,FOS
ENSG00000170373,CST1
ENSG00000170421,KRT8
ENSG00000170442,KRT86
ENSG00000170458,CD14
ENSG00000170476,MZB1
ENSG00000170477,KRT4
ENSG00000170509,HSD17B13
ENSG00000170525,PFKFB3
ENSG00000170542,SERPINB9
ENSG00000170571,EMB
ENSG00000170786,SDR16C5
ENSG00000170801,HTRA3
ENSG00000170873,MTSS1
ENSG00000170890,PLA2G1B
ENSG00000170891,CYTL1
ENSG00000170961,HAS2
ENSG00000170989,S1PR1
ENSG00000171049,FPR2
ENSG00000171051,FPR1
ENSG00000171056,SOX7
ENSG00000171115,GIMAP8
ENSG00000171195,MUC7
ENSG00000171236,LRG1
ENSG00000171243,SOSTDC1
ENSG00000171345,KRT19
ENSG00000171346,KRT15
ENSG00000171401,KRT13
ENSG00000171476,HOPX
ENSG00000171522,PTGER4
ENSG00000171557,FGG
ENSG00000171595,DNAI2
ENSG00000171596,NMUR1
ENSG00000171608,PIK3CD
ENSG00000171643,S100Z
ENSG00000171657,GPR82
ENSG00000171659,GPR34
ENSG00000171711,DEFB4A
ENSG00000171791,BCL2
ENSG00000171811,CFAP46
ENSG00000171848,RRM2
ENSG00000171860,C3AR1
ENSG00000171885,AQP4
ENSG00000171951,SCG2
ENSG00000171962,DRC3
ENSG00000172005,MAL
ENSG00000172116,CD8B
ENSG00000172137,CALB2
ENSG00000172156,CCL11
ENSG00000172175,MALT1
ENSG00000172183,ISG20
ENSG00000172201,ID4
ENSG00000172215,CXCR6
ENSG00000172236,TPSAB1
ENSG00000172349,IL16
ENSG00000172361,CFAP53
ENSG00000172403,SYNPO2
ENSG00000172426,RSPH9
ENSG00000172456,FGGY
ENSG00000172543,CTSW
ENSG00000172551,MUCL1
ENSG00000172575,RASGRP1
ENSG00000172578,KLHL6
ENSG00000172602,RND1
ENSG00000172673,THEMIS
ENSG00000172724,CCL19
ENSG00000172889,EGFL7
ENSG00000172965,MIR4435-2HG
ENSG00000173110,HSPA6
ENSG00000173267,SNCG
ENSG00000173269,MMRN2
ENSG00000173369,C1QB
ENSG00000173372,C1QA
ENSG00000173391,OLR1
ENSG00000173432,SAA1
ENSG00000173451,THAP2
ENSG00000173467,AGR3
ENSG00000173559,NABP1
ENSG00000173706,HEG1
ENSG00000173762,CD7
ENSG00000173917,HOXB2
ENSG00000173947,PIFO
ENSG00000174059,CD34
ENSG00000174171,RP11-23P13.6
ENSG00000174175,SELP
ENSG00000174255,ZNF80
ENSG00000174348,PODN
ENSG00000174501,ANKRD36C
ENSG00000174640,SLCO2A1
ENSG00000174718,KIAA1551
ENSG00000174776,WDR49
ENSG00000174807,CD248
ENSG00000174844,DNAH12
ENSG00000174898,CATSPERD
ENSG00000174944,P2RY14
ENSG00000174946,GPR171
ENSG00000174950,CD164L2
ENSG00000175040,CHST2
ENSG00000175063,UBE2C
ENSG00000175084,DES
ENSG00000175130,MARCKSL1
ENSG00000175183,CSRP2
ENSG00000175267,VWA3A
ENSG00000175294,CATSPER1
ENSG00000175315,CST6
ENSG00000175445,LPL
ENSG00000175463,TBC1D10C
ENSG00000175664,TEX26
ENSG00000175745,NR2F1
ENSG00000175793,SFN
ENSG00000175857,GAPT
ENSG00000175899,A2M
ENSG00000175906,ARL4D
ENSG00000176009,ASCL3
ENSG00000176029,C11orf16
ENSG00000176046,NUPR1
ENSG00000176083,ZNF683
ENSG00000176170,SPHK1
ENSG00000176435,CLEC14A
ENSG00000176601,MAP3K19
ENSG00000176771,NCKAP5
ENSG00000176788,BASP1
ENSG00000176890,TYMS
ENSG00000176907,C8orf4
ENSG00000176971,FIBIN
ENSG00000177303,CASKIN2
ENSG00000177464,GPR4
ENSG00000177469,PTRF
ENSG00000177575,CD163
ENSG00000177606,JUN
ENSG00000177721,ANXA2R
ENSG00000177989,ODF3B
ENSG00000178053,MLF1
ENSG00000178363,CALML3
ENSG00000178531,CTXN1
ENSG00000178562,CD28
ENSG00000178573,MAF
ENSG00000178623,GPR35
ENSG00000178695,KCTD12
ENSG00000178726,THBD
ENSG00000178796,RIIAD1
ENSG00000178878,APOLD1
ENSG00000178934,LGALS7B
ENSG00000178965,ERICH3
ENSG00000179144,GIMAP7
ENSG00000179178,TMEM125
ENSG00000179344,HLA-DQB1
ENSG00000179348,GATA2
ENSG00000179388,EGR3
ENSG00000179639,FCER1A
ENSG00000179776,CDH5
ENSG00000179813,FAM216B
ENSG00000179902,C1orf194
ENSG00000179914,ITLN1
ENSG00000180096,SEPT1
ENSG00000180155,LYNX1
ENSG00000180448,HMHA1
ENSG00000180644,PRF1
ENSG00000180739,S1PR5
ENSG00000181019,NQO1
ENSG00000181036,FCRL6
ENSG00000181085,MAPK15
ENSG00000181104,F2R
ENSG00000181123,RP4-539M6.14
ENSG00000181143,MUC16
ENSG00000181374,CCL13
ENSG00000181458,TMEM45A
ENSG00000181617,FDCSP
ENSG00000181649,PHLDA2
ENSG00000181847,TIGIT
ENSG00000182010,RTKN2
ENSG00000182162,P2RY8
ENSG00000182287,AP1S2
ENSG00000182326,C1S
ENSG00000182329,KIAA2012
ENSG00000182393,IFNL1
ENSG00000182463,TSHZ2
ENSG00000182492,BGN
ENSG00000182568,SATB1
ENSG00000182578,CSF1R
ENSG00000182667,NTM
ENSG00000182809,CRIP2
ENSG00000182853,VMO1
ENSG00000182866,LCK
ENSG00000182871,COL18A1
ENSG00000182985,CADM1
ENSG00000183018,SPNS2
ENSG00000183019,MCEMP1
ENSG00000183023,SLC8A1
ENSG00000183087,GAS6
ENSG00000183346,C10orf107
ENSG00000183395,PMCH
ENSG00000183484,GPR132
ENSG00000183486,MX2
ENSG00000183508,FAM46C
ENSG00000183542,KLRC4
ENSG00000183607,GKN2
ENSG00000183615,FAM167B
ENSG00000183644,C11orf88
ENSG00000183688,FAM101B
ENSG00000183722,LHFP
ENSG00000183780,SLC35F3
ENSG00000183807,FAM162B
ENSG00000183813,CCR4
ENSG00000183833,MAATS1
ENSG00000183918,SH2D1A
ENSG00000184113,CLDN5
ENSG00000184205,TSPYL2
ENSG00000184254,ALDH1A3
ENSG00000184292,TACSTD2
ENSG00000184293,CLECL1
ENSG00000184371,CSF1
ENSG00000184515,BEX5
ENSG00000184530,C6orf58
ENSG00000184557,SOCS3
ENSG00000184588,PDE4B
ENSG00000184908,CLCNKB
ENSG00000184922,FMNL1
ENSG00000184949,FAM227A
ENSG00000185055,EFCAB10
ENSG00000185112,FAM43A
ENSG00000185201,IFITM2
ENSG00000185215,TNFAIP2
ENSG00000185250,PPIL6
ENSG00000185291,IL3RA
ENSG00000185303,SFTPA2
ENSG00000185338,SOCS1
ENSG00000185361,TNFAIP8L1
ENSG00000185477,GPRIN3
ENSG00000185479,KRT6B
ENSG00000185499,MUC1
ENSG00000185633,NDUFA4L2
ENSG00000185681,MORN5
ENSG00000185697,MYBL1
ENSG00000185745,IFIT1
ENSG00000185811,IKZF1
ENSG00000185860,CCDC190
ENSG00000185862,EVI2B
ENSG00000185873,TMPRSS11B
ENSG00000185885,IFITM1
ENSG00000185897,FFAR3
ENSG00000185905,C16orf54
ENSG00000185947,ZNF267
ENSG00000186081,KRT5
ENSG00000186265,BTLA
ENSG00000186340,THBS2
ENSG00000186352,ANKRD37
ENSG00000186407,CD300E
ENSG00000186409,CCDC30
ENSG00000186469,GNG2
ENSG00000186471,AKAP14
ENSG00000186474,KLK12
ENSG00000186480,INSIG1
ENSG00000186710,CFAP73
ENSG00000186810,CXCR3
ENSG00000186818,LILRB4
ENSG00000186827,TNFRSF4
ENSG00000186832,KRT16
ENSG00000186847,KRT14
ENSG00000186891,TNFRSF18
ENSG00000186973,FAM183A
ENSG00000187116,LILRA5
ENSG00000187134,AKR1C1
ENSG00000187193,MT1X
ENSG00000187240,DYNC2H1
ENSG00000187244,BCAM
ENSG00000187474,FPR3
ENSG00000187479,C11orf96
ENSG00000187492,CDHR4
ENSG00000187498,COL4A1
ENSG00000187513,GJA4
ENSG00000187608,ISG15
ENSG00000187837,HIST1H1C
ENSG00000187908,DMBT1
ENSG00000187955,COL14A1
ENSG00000188001,TPRG1
ENSG00000188010,MORN2
ENSG00000188039,NWD1
ENSG00000188042,ARL4C
ENSG00000188100,FAM25A
ENSG00000188175,HEPACAM2
ENSG00000188257,PLA2G2A
ENSG00000188290,HES4
ENSG00000188389,PDCD1
ENSG00000188396,TCTEX1D4
ENSG00000188404,SELL
ENSG00000188536,HBA2
ENSG00000188596,CFAP54
ENSG00000188643,S100A16
ENSG00000188659,SAXO2
ENSG00000188783,PRELP
ENSG00000188817,SNTN
ENSG00000188820,FAM26F
ENSG00000188906,LRRK2
ENSG00000188921,HACD4
ENSG00000188931,CFAP126
ENSG00000189001,SBSN
ENSG00000189013,KIR2DL4
ENSG00000189058,APOD
ENSG00000189129,PLAC9
ENSG00000189143,CLDN4
ENSG00000189334,S100A14
ENSG00000189350,FAM179A
ENSG00000189377,CXCL17
ENSG00000189409,MMP23B
ENSG00000189430,NCR1
ENSG00000196126,HLA-DRB1
ENSG00000196139,AKR1C3
ENSG00000196154,S100A4
ENSG00000196188,CTSE
ENSG00000196196,HRCT1
ENSG00000196260,SFTA2
ENSG00000196329,GIMAP5
ENSG00000196611,MMP1
ENSG00000196616,ADH1B
ENSG00000196628,TCF4
ENSG00000196684,HSH2D
ENSG00000196735,HLA-DQA1
ENSG00000196754,S100A2
ENSG00000196839,ADA
ENSG00000196843,ARID5A
ENSG00000196872,KIAA1211L
ENSG00000196878,LAMB3
ENSG00000196924,FLNA
ENSG00000196935,SRGAP1
ENSG00000197043,ANXA6
ENSG00000197057,DTHD1
ENSG00000197168,NEK5
ENSG00000197245,FAM110D
ENSG00000197249,SERPINA1
ENSG00000197253,TPSB2
ENSG00000197353,LYPD2
ENSG00000197405,C5AR1
ENSG00000197446,CYP2F1
ENSG00000197471,SPN
ENSG00000197540,GZMM
ENSG00000197614,MFAP5
ENSG00000197629,MPEG1
ENSG00000197632,SERPINB2
ENSG00000197641,SERPINB13
ENSG00000197653,DNAH10
ENSG00000197696,NMB
ENSG00000197748,CFAP43
ENSG00000197766,CFD
ENSG00000197826,C4orf22
ENSG00000197870,PRB3
ENSG00000197872,FAM49A
ENSG00000197992,CLEC9A
ENSG00000198075,SULT1C4
ENSG00000198183,BPIFA1
ENSG00000198400,NTRK1
ENSG00000198417,MT1F
ENSG00000198467,TPM2
ENSG00000198502,HLA-DRB5
ENSG00000198520,C1orf228
ENSG00000198523,PLN
ENSG00000198542,ITGBL1
ENSG00000198574,SH2D1B
ENSG00000198576,ARC
ENSG00000198643,FAM3D
ENSG00000198743,SLC5A3
ENSG00000198759,EGFL6
ENSG00000198771,RCSD1
ENSG00000198821,CD247
ENSG00000198832,SELM
ENSG00000198848,CES1
ENSG00000198851,CD3E
ENSG00000198919,DZIP3
ENSG00000198959,TGM2
ENSG00000203747,FCGR3A
ENSG00000203778,FAM229B
ENSG00000203780,FANK1
ENSG00000203785,SPRR2E
ENSG00000203883,SOX18
ENSG00000203985,LDLRAD1
ENSG00000204103,MAFB
ENSG00000204257,HLA-DMA
ENSG00000204262,COL5A2
ENSG00000204287,HLA-DRA
ENSG00000204291,COL15A1
ENSG00000204301,NOTCH4
ENSG00000204305,AGER
ENSG00000204385,SLC44A4
ENSG00000204388,HSPA1B
ENSG00000204389,HSPA1A
ENSG00000204472,AIF1
ENSG00000204475,NCR3
ENSG00000204482,LST1
ENSG00000204711,C9orf135
ENSG00000204815,TTC25
ENSG00000204936,CD177
ENSG00000204950,LRRC10B
ENSG00000205045,SLFN12L
ENSG00000205056,RP11-693J15.5
ENSG00000205076,LGALS7
ENSG00000205084,TMEM231
ENSG00000205336,ADGRG1
ENSG00000205358,MT1H
ENSG00000205362,MT1A
ENSG00000205364,MT1M
ENSG00000205413,SAMD9
ENSG00000205420,KRT6A
ENSG00000205502,C2CD4B
ENSG00000205809,KLRC2
ENSG00000205810,KLRC3
ENSG00000206072,SERPINB11
ENSG00000206073,SERPINB4
ENSG00000206172,HBA1
ENSG00000206177,HBM
ENSG00000206199,ANKUB1
ENSG00000206530,CFAP44
ENSG00000211445,GPX3
ENSG00000211592,IGKC
ENSG00000211598,IGKV4-1
ENSG00000211638,IGLV8-61
ENSG00000211640,IGLV6-57
ENSG00000211644,IGLV1-51
ENSG00000211648,IGLV1-47
ENSG00000211650,IGLV5-45
ENSG00000211651,IGLV1-44
ENSG00000211653,IGLV1-40
ENSG00000211659,IGLV3-25
ENSG00000211660,IGLV2-23
ENSG00000211662,IGLV3-21
ENSG00000211664,IGLV2-18
ENSG00000211666,IGLV2-14
ENSG00000211668,IGLV2-11
ENSG00000211669,IGLV3-10
ENSG00000211670,IGLV3-9
ENSG00000211673,IGLV3-1
ENSG00000211677,IGLC2
ENSG00000211679,IGLC3
ENSG00000211685,IGLC7
ENSG00000211689,TRGC1
ENSG00000211694,TRGV10
ENSG00000211695,TRGV9
ENSG00000211698,TRGV4
ENSG00000211699,TRGV3
ENSG00000211706,TRBV6-1
ENSG00000211747,TRBV20-1
ENSG00000211751,TRBC1
ENSG00000211752,TRBV27
ENSG00000211772,TRBC2
ENSG00000211778,TRAV4
ENSG00000211788,TRAV13-1
ENSG00000211789,TRAV12-2
ENSG00000211791,TRAV13-2
ENSG00000211792,TRAV14DV4
ENSG00000211793,TRAV9-2
ENSG00000211794,TRAV12-3
ENSG00000211795,TRAV8-6
ENSG00000211796,TRAV16
ENSG00000211797,TRAV17
ENSG00000211800,TRAV20
ENSG00000211801,TRAV21
ENSG00000211802,TRAV22
ENSG00000211803,TRAV23DV6
ENSG00000211806,TRAV25
ENSG00000211810,TRAV29DV5
ENSG00000211812,TRAV26-2
ENSG00000211829,TRDC
ENSG00000211890,IGHA2
ENSG00000211892,IGHG4
ENSG00000211893,IGHG2
ENSG00000211895,IGHA1
ENSG00000211896,IGHG1
ENSG00000211897,IGHG3
ENSG00000211898,IGHD
ENSG00000211899,IGHM
ENSG00000211935,IGHV1-3
ENSG00000211938,IGHV3-7
ENSG00000211943,IGHV3-15
ENSG00000211945,IGHV1-18
ENSG00000211947,IGHV3-21
ENSG00000211949,IGHV3-23
ENSG00000211950,IGHV1-24
ENSG00000211956,IGHV4-34
ENSG00000211959,IGHV4-39
ENSG00000211962,IGHV1-46
ENSG00000211966,IGHV5-51
ENSG00000211970,IGHV4-61
ENSG00000212901,KRTAP3-1
ENSG00000213085,CFAP45
ENSG00000213088,ACKR1
ENSG00000213123,TCTEX1D2
ENSG00000213145,CRIP1
ENSG00000213203,GIMAP1
ENSG00000213316,LTC4S
ENSG00000213626,LBH
ENSG00000213654,GPSM3
ENSG00000213658,LAT
ENSG00000213853,EMP2
ENSG00000213903,LTB4R
ENSG00000213949,ITGA1
ENSG00000214128,TMEM213
ENSG00000214548,MEG3
ENSG00000215182,MUC5AC
ENSG00000215187,FAM166B
ENSG00000215217,C5orf49
ENSG00000215788,TNFRSF25
ENSG00000216490,IFI30
ENSG00000221946,FXYD7
ENSG00000222037,IGLC6
ENSG00000222041,LINC00152
ENSG00000223350,IGLV9-49
ENSG00000223609,HBD
ENSG00000223865,HLA-DPB1
ENSG00000224373,IGHV4-59
ENSG00000224383,PRR29
ENSG00000224397,LINC01272
ENSG00000224650,IGHV3-74
ENSG00000224958,PGM5-AS1
ENSG00000224982,TMEM233
ENSG00000225383,SFTA1P
ENSG00000225783,MIAT
ENSG00000225936,RP11-501J20.5
ENSG00000226179,LINC00685
ENSG00000226644,RP11-128M1.1
ENSG00000226777,KIAA0125
ENSG00000226979,LTA
ENSG00000227191,TRGC2
ENSG00000227507,LTB
ENSG00000228401,RP11-251M1.1
ENSG00000228723,SRGAP3-AS2
ENSG00000229056,AC020571.3
ENSG00000229124,VIM-AS1
ENSG00000229274,XXbac-BPG13B8.10
ENSG00000229415,SFTA3
ENSG00000229807,XIST
ENSG00000230062,ANKRD66
ENSG00000230657,PRB4
ENSG00000231389,HLA-DPA1
ENSG00000231475,IGHV4-31
ENSG00000231621,AC013264.2
ENSG00000231721,LINC-PINT
ENSG00000231738,TSPAN19
ENSG00000232629,HLA-DQB2
ENSG00000232679,RP11-400N13.3
ENSG00000232810,TNF
ENSG00000233306,TRGV2
ENSG00000233429,HOTAIRM1
ENSG00000233559,AC016831.7
ENSG00000233968,RP11-354E11.2
ENSG00000234184,RP5-887A10.1
ENSG00000234663,AC104820.2
ENSG00000234883,MIR155HG
ENSG00000235162,C12orf75
ENSG00000235385,GS1-600G8.5
ENSG00000235576,AC092580.4
ENSG00000235584,AC008268.1
ENSG00000236213,AC006369.2
ENSG00000236481,AC002331.1
ENSG00000236824,BCYRN1
ENSG00000237499,RP11-356I2.4
ENSG00000237541,HLA-DQA2
ENSG00000237702,TRBV3-1
ENSG00000239453,SIDT1-AS1
ENSG00000239713,APOBEC3G
ENSG00000239819,IGKV1D-8
ENSG00000239839,DEFA3
ENSG00000239951,IGKV3-20
ENSG00000239961,LILRA4
ENSG00000240382,IGKV1-17
ENSG00000240403,KIR3DL2
ENSG00000240505,TNFRSF13B
ENSG00000240583,AQP1
ENSG00000240864,IGKV1-16
ENSG00000241163,LINC00877
ENSG00000241351,IGKV3-11
ENSG00000241490,RP11-553L6.2
ENSG00000241644,INMT
ENSG00000241755,IGKV1-9
ENSG00000241794,SPRR2A
ENSG00000242265,PEG10
ENSG00000242534,IGKV2D-28
ENSG00000242574,HLA-DMB
ENSG00000243238,IGKV2-30
ENSG00000243290,IGKV1-12
ENSG00000243449,C4orf48
ENSG00000243466,IGKV1-5
ENSG00000243566,UPK3B
